atlas_telephely_id,partner/külső_id,hermes_telephely_id,partner_telephely_kulso_id,partner_nev_hermes,telepules_hermes,kozterulet_nev_hermes,kozterulet_jelleg_hermes,hazszam_hermes
1006288,1033875,1237132,1006288,Eisberg Hungary Kft.,Gyál,Kisfaludy,utca,63
1006050,1033877,1237134,1006050,Első Magyar Pékpont- Rendszer Kft.,Szigetszentmiklós,Csepeli,út,28
1006833,1033883,1237136,1006833,ERU Food Trading,Budapest,Hadak,útja,7-9
1005405,1033903,1237138,1005405,F&R Partner Kft.,Budaörs,Raktár,utca,1
1007046,1033905,1237140,1007046,Fackelmann Hungária Kft.,Budapest,Szállító,utca,6
1005377,1033907,1237142,1005377,Farm Frites Hungary Kft.,Budaörs,Szabadság,út,117
1007225,1033909,1237144,1007225,Farm Tojás Kft.,Győr,Tárogató,utca,9
1006682,1033911,1237146,1006682,Fatmelter Kft,Budapest,Visi Imre,utca,12
1006215,1033913,1237148,1006215,Fazekas Tartósító és Kereskedelmi Kft.,Vecsés,Malom,utca,17
1006026,1033923,1237150,1006026,Fevita Hungary,Székesfehérvár,Raktár,utca,1
1005401,1033931,1237152,1005401,Flaga Hungária Kft.,Budaörs,Puskás Tivadar,utca,14
1006357,1033937,1237154,1006357,Foltin Globe Kft.,Nagytarcsa,Naplás,út,20
1006880,1033961,1237156,1006880,FrieslandCampina Hungária ZRt.,Budapest,Váci,út,33
1007420,1033981,1237158,1007420,G és K Food Kft.,Sándorfalva,Rákóczi,utca,5
1006771,1033983,1237160,1006771,G.I.F.T. Kft.,Budapest,Sasadi,út,134
1007276,1033987,1237162,1007276,Gála Kereskedelmi Zrt.,Miskolc,Szentpéteri,kapu,80
1006172,1034015,1237166,1006172,GLC-mentes Kft.,Újlengyel,Petőfi Sándor,utca,48
1007222,1034039,1237168,1007222,Győri Likőr Zrt.,Győr,Budai,utca,7
1005611,1034043,1237170,1005611,Gyulahús Kft.,Gyula,Munkácsy Mihály,utca,7-11
1007454,1034045,1237172,1007454,Szögedi Csirke Kft.,Szeged,Központi,major,
1005872,1034057,1237174,1005872,Haribo Hungária Kft.,Nemesvámos,Szeder,utca,5
1005990,1034067,1237176,1005990,Heineken Hungária Zrt.,Sopron,Vándor Sándor,út,1
1006287,1034069,1237178,1006287,Heinemann Testvérek Kft.,Gyál,Gorcsev Iván,utca,1
1006657,1034073,1237180,1006657,Hell Energy Magyarország Kft,Budapest,Károly,körút,1
1006888,1034079,1237182,1006888,Herbária Zrt.,Budapest,Csata,utca,27
1005271,1034081,1237184,1005271,Hering Trade Kft.,Ászár,Köztársaság,utca,10
1006744,1034095,1237188,1006744,Hop Top Sörfőző Kft.,Budapest,Maglódi,út,47
1007112,1034111,1237192,1007112,Húsüzem Kft.,Zalaegerszeg,Gazdaság,utca,26
1005884,1034119,1237194,1005884,In-Food 2000 Kft.,Nyúl,Táncsics Mihály,utca,144
1007064,1034127,1237196,1007064,ISH Food,Budapest,Nagytétényi,út,112
1006625,1034129,1237198,1006625,Ital Magyarország Kft,Budapest,Balassi Bálint,utca,21-23
1005867,1034139,1237200,1005867,Jász-Tész Kft.,Nagyréde,Haladás,út,
1006818,1034105,1237202,1006818,Hungaro-Fett 09 Kft.,Budapest,Iglói,út,5
1006208,1034141,1237204,1006208,Jégtrade Kft.,Vecsés,Ecseri,út,
1006245,1034163,1237206,1006245,Kapos Ternero Kft,Bárdudvarnok,Bárd,utca,98
1005900,1034183,1237208,1005900,Kiss és Társai Kft.,Pánd,Kossuth Lajos,utca,9
1005702,1034195,1237210,1005702,Kometa 99,Kaposvár,Pécsi,utca,67-69
1005762,1034203,1237212,1005762,Kőröstej Kft.,Kőröstetétlen,Abonyi,utca,2
1006331,1034219,1237214,1006331,Kunság Szesz Zrt.,Kiskőrös,Bánffy,utca,37
1006913,1034233,1237216,1006913,Lactalis Hungária Kft.,Budapest,Váci,út,182
1006058,1034243,1237218,1006058,Latinum ZRt.,Szigetszentmiklós,Leshegy,utca,
1006531,1034245,1237220,1006531,Laufer és Társa Bt.,Budapest,Nánási,út,2
1006713,1034281,1237224,1006713,Magyar Lapterjesztő Zrt.,Budapest,Táblás,utca,32
1006799,1034259,1237226,1006799,Liquid Gold Kereskedelmi és Szolg. Kft,Budapest,Hunyadi János,út,1
1006822,1034291,1237228,1006822,Maresi Foodbroker Kereskedelmi Kft.,Budapest,Homonna,utca,2-4
